NR-AR,NR-AR-LBD,NR-AhR,NR-Aromatase,NR-ER,NR-ER-LBD,NR-PPAR-gamma,SR-ARE,SR-ATAD5,SR-HSE,SR-MMP,SR-p53,mol_id,smiles,ROMol
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX21847,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,<rdkit.Chem.rdchem.Mol object at 0x71c2951807b0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX29289,CCCCCCCCCCCCn1cc[n+](C)c1,<rdkit.Chem.rdchem.Mol object at 0x71c2951db370>
0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,TOX1684,CCCCCCCCCCCCC(=O)O,<rdkit.Chem.rdchem.Mol object at 0x71c2951e9930>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1956,CCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x71c2951c9690>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX2010,CCCCCCCC/C=C\CCCCCCCCO,<rdkit.Chem.rdchem.Mol object at 0x71c295191a10>
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX24870,C=C(C)C(=O)OCCCCOC(=O)C(=C)C,<rdkit.Chem.rdchem.Mol object at 0x71c29512d3f0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX1519,CCCCOCCOCCO,<rdkit.Chem.rdchem.Mol object at 0x71c2951f0a50>
0.0,1.0,0.0,,0.0,0.0,1.0,1.0,1.0,,0.0,,TOX24779,C=CC(=O)OCCCCOC(=O)C=C,<rdkit.Chem.rdchem.Mol object at 0x71c29516d620>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TOX7268,CCCCCCCCCCCCCCC,<rdkit.Chem.rdchem.Mol object at 0x71c2951f7ca0>
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,TOX24807,COC(=O)CCCCCCCC(=O)OC,<rdkit.Chem.rdchem.Mol object at 0x71c295169150>
0.0,,0.0,,,,,,,,,,TOX6902,CCCCCCCCCCCCCCCCCC[N+](C)(C)C,<rdkit.Chem.rdchem.Mol object at 0x71c2951d3370>
